assignment_id,employee_id,project_id,role,hours_allocated
AS00001,EMP0193,PROJ0001,Contributor,201
AS00002,EMP0156,PROJ0001,Coordinator,398
AS00003,EMP0062,PROJ0001,Contributor,305
AS00004,EMP0174,PROJ0002,Reviewer,230
AS00005,EMP0001,PROJ0002,Lead,186
AS00006,EMP0192,PROJ0002,Coordinator,179
AS00007,EMP0175,PROJ0002,Lead,322
AS00008,EMP0142,PROJ0002,Coordinator,58
AS00009,EMP0166,PROJ0002,Coordinator,223
AS00010,EMP0174,PROJ0003,Reviewer,242
AS00011,EMP0175,PROJ0003,Contributor,191
AS00012,EMP0077,PROJ0003,Coordinator,393
AS00013,EMP0127,PROJ0003,Lead,125
AS00014,EMP0169,PROJ0003,Contributor,267
AS00015,EMP0132,PROJ0003,Coordinator,323
AS00016,EMP0175,PROJ0004,Coordinator,62
AS00017,EMP0105,PROJ0004,Reviewer,54
AS00018,EMP0061,PROJ0004,Reviewer,76
AS00019,EMP0071,PROJ0004,Contributor,70
AS00020,EMP0062,PROJ0004,Coordinator,309
AS00021,EMP0193,PROJ0004,Reviewer,150
AS00022,EMP0077,PROJ0004,Contributor,349
AS00023,EMP0092,PROJ0004,Coordinator,188
AS00024,EMP0166,PROJ0005,Coordinator,385
AS00025,EMP0162,PROJ0005,Contributor,181
AS00026,EMP0175,PROJ0005,Coordinator,33
AS00027,EMP0170,PROJ0006,Coordinator,262
AS00028,EMP0114,PROJ0006,Coordinator,236
AS00029,EMP0029,PROJ0006,Lead,230
AS00030,EMP0057,PROJ0006,Lead,377
AS00031,EMP0114,PROJ0007,Coordinator,328
AS00032,EMP0188,PROJ0007,Lead,116
AS00033,EMP0145,PROJ0007,Reviewer,39
AS00034,EMP0060,PROJ0007,Lead,325
AS00035,EMP0213,PROJ0007,Lead,62
AS00036,EMP0144,PROJ0007,Reviewer,125
AS00037,EMP0149,PROJ0007,Coordinator,217
AS00038,EMP0057,PROJ0008,Coordinator,339
AS00039,EMP0083,PROJ0008,Coordinator,111
AS00040,EMP0045,PROJ0008,Reviewer,22
AS00041,EMP0052,PROJ0008,Coordinator,112
AS00042,EMP0170,PROJ0008,Reviewer,121
AS00043,EMP0028,PROJ0008,Lead,147
AS00044,EMP0184,PROJ0008,Contributor,384
AS00045,EMP0111,PROJ0008,Contributor,100
AS00046,EMP0083,PROJ0009,Contributor,210
AS00047,EMP0028,PROJ0009,Reviewer,321
AS00048,EMP0057,PROJ0009,Coordinator,180
AS00049,EMP0104,PROJ0010,Contributor,379
AS00050,EMP0034,PROJ0010,Coordinator,24
AS00051,EMP0217,PROJ0010,Coordinator,136
AS00052,EMP0015,PROJ0011,Reviewer,265
AS00053,EMP0203,PROJ0011,Contributor,191
AS00054,EMP0168,PROJ0011,Reviewer,339
AS00055,EMP0079,PROJ0011,Coordinator,166
AS00056,EMP0219,PROJ0011,Reviewer,96
AS00057,EMP0181,PROJ0012,Reviewer,43
AS00058,EMP0200,PROJ0012,Coordinator,107
AS00059,EMP0079,PROJ0012,Coordinator,152
AS00060,EMP0097,PROJ0012,Coordinator,33
AS00061,EMP0003,PROJ0012,Lead,63
AS00062,EMP0098,PROJ0012,Contributor,236
AS00063,EMP0026,PROJ0012,Coordinator,298
AS00064,EMP0147,PROJ0012,Reviewer,197
AS00065,EMP0063,PROJ0013,Coordinator,189
AS00066,EMP0047,PROJ0013,Contributor,37
AS00067,EMP0179,PROJ0013,Coordinator,63
AS00068,EMP0109,PROJ0013,Contributor,142
AS00069,EMP0121,PROJ0013,Coordinator,80
AS00070,EMP0089,PROJ0013,Reviewer,382
AS00071,EMP0103,PROJ0013,Coordinator,123
AS00072,EMP0134,PROJ0013,Contributor,198
AS00073,EMP0047,PROJ0014,Lead,239
AS00074,EMP0135,PROJ0014,Contributor,145
AS00075,EMP0010,PROJ0014,Contributor,28
AS00076,EMP0134,PROJ0014,Contributor,177
AS00077,EMP0089,PROJ0014,Reviewer,385
AS00078,EMP0109,PROJ0014,Contributor,82
AS00079,EMP0095,PROJ0015,Reviewer,74
AS00080,EMP0053,PROJ0015,Reviewer,243
AS00081,EMP0123,PROJ0015,Lead,197
AS00082,EMP0194,PROJ0015,Contributor,341
AS00083,EMP0190,PROJ0015,Reviewer,270
AS00084,EMP0109,PROJ0015,Contributor,129
AS00085,EMP0134,PROJ0015,Reviewer,52
AS00086,EMP0064,PROJ0015,Reviewer,135
AS00087,EMP0063,PROJ0016,Reviewer,254
AS00088,EMP0010,PROJ0016,Reviewer,253
AS00089,EMP0112,PROJ0016,Contributor,222
AS00090,EMP0103,PROJ0016,Lead,70
AS00091,EMP0194,PROJ0017,Reviewer,377
AS00092,EMP0095,PROJ0017,Lead,264
AS00093,EMP0064,PROJ0017,Contributor,57
AS00094,EMP0011,PROJ0017,Lead,64
AS00095,EMP0140,PROJ0017,Reviewer,376
AS00096,EMP0089,PROJ0017,Lead,232
AS00097,EMP0214,PROJ0017,Contributor,95
AS00098,EMP0021,PROJ0018,Lead,130
AS00099,EMP0068,PROJ0018,Lead,93
AS00100,EMP0036,PROJ0018,Reviewer,227
AS00101,EMP0130,PROJ0018,Lead,169
AS00102,EMP0124,PROJ0018,Contributor,106
AS00103,EMP0177,PROJ0018,Contributor,314
AS00104,EMP0119,PROJ0019,Contributor,328
AS00105,EMP0107,PROJ0019,Contributor,321
AS00106,EMP0005,PROJ0019,Coordinator,185
AS00107,EMP0033,PROJ0019,Lead,96
AS00108,EMP0151,PROJ0020,Lead,329
AS00109,EMP0049,PROJ0020,Lead,311
AS00110,EMP0013,PROJ0020,Reviewer,207
AS00111,EMP0091,PROJ0020,Lead,97
AS00112,EMP0005,PROJ0020,Reviewer,172
AS00113,EMP0043,PROJ0020,Coordinator,115
AS00114,EMP0131,PROJ0021,Contributor,391
AS00115,EMP0068,PROJ0021,Reviewer,86
AS00116,EMP0189,PROJ0021,Reviewer,178
AS00117,EMP0005,PROJ0021,Contributor,349
AS00118,EMP0208,PROJ0021,Coordinator,64
AS00119,EMP0137,PROJ0021,Coordinator,176
AS00120,EMP0036,PROJ0021,Contributor,287
AS00121,EMP0087,PROJ0022,Coordinator,114
AS00122,EMP0006,PROJ0022,Reviewer,269
AS00123,EMP0186,PROJ0022,Coordinator,261
AS00124,EMP0100,PROJ0022,Contributor,140
AS00125,EMP0012,PROJ0022,Coordinator,162
AS00126,EMP0006,PROJ0023,Coordinator,134
AS00127,EMP0030,PROJ0023,Contributor,129
AS00128,EMP0072,PROJ0023,Reviewer,365
AS00129,EMP0085,PROJ0024,Contributor,360
AS00130,EMP0204,PROJ0024,Coordinator,198
AS00131,EMP0006,PROJ0024,Coordinator,400
AS00132,EMP0176,PROJ0024,Coordinator,238
AS00133,EMP0159,PROJ0024,Coordinator,202
AS00134,EMP0191,PROJ0024,Contributor,242
AS00135,EMP0201,PROJ0024,Contributor,359
AS00136,EMP0017,PROJ0024,Coordinator,223
AS00137,EMP0176,PROJ0025,Reviewer,146
AS00138,EMP0191,PROJ0025,Reviewer,299
AS00139,EMP0096,PROJ0025,Coordinator,188
AS00140,EMP0027,PROJ0026,Reviewer,132
AS00141,EMP0150,PROJ0026,Lead,233
AS00142,EMP0007,PROJ0026,Reviewer,209
AS00143,EMP0146,PROJ0026,Coordinator,129
AS00144,EMP0074,PROJ0026,Contributor,291
AS00145,EMP0041,PROJ0026,Reviewer,328
AS00146,EMP0088,PROJ0026,Lead,41
AS00147,EMP0019,PROJ0027,Coordinator,37
