review_id,employee_id,review_period,rating,promoted
REV00001,EMP0001,2024-H1,4,0
REV00002,EMP0001,2024-H2,4,0
REV00003,EMP0001,2022-H1,1,0
REV00004,EMP0002,2023-H2,2,0
REV00005,EMP0002,2022-H1,4,0
REV00006,EMP0003,2023-H1,4,0
REV00007,EMP0004,2022-H1,2,0
REV00008,EMP0005,2024-H2,5,1
REV00009,EMP0005,2023-H2,5,1
REV00010,EMP0005,2024-H1,4,0
REV00011,EMP0006,2022-H2,3,0
REV00012,EMP0006,2024-H2,2,0
REV00013,EMP0007,2024-H1,4,0
REV00014,EMP0007,2023-H1,4,0
REV00015,EMP0007,2022-H2,3,0
REV00016,EMP0007,2023-H2,4,0
REV00017,EMP0008,2023-H1,4,0
REV00018,EMP0009,2024-H2,4,0
REV00019,EMP0009,2023-H2,4,0
REV00020,EMP0010,2022-H1,4,0
REV00021,EMP0010,2022-H2,5,0
REV00022,EMP0010,2023-H1,3,0
REV00023,EMP0011,2024-H2,5,1
REV00024,EMP0011,2024-H1,3,0
REV00025,EMP0012,2024-H2,4,0
REV00026,EMP0013,2022-H2,5,0
REV00027,EMP0013,2023-H2,5,0
REV00028,EMP0013,2024-H2,2,0
REV00029,EMP0014,2024-H2,4,0
REV00030,EMP0014,2024-H1,1,0
REV00031,EMP0015,2024-H1,4,0
REV00032,EMP0016,2023-H2,4,0
REV00033,EMP0016,2022-H1,4,0
REV00034,EMP0017,2023-H2,5,0
REV00035,EMP0018,2024-H1,4,0
REV00036,EMP0018,2023-H2,5,0
REV00037,EMP0018,2024-H2,4,0
REV00038,EMP0019,2023-H2,5,1
REV00039,EMP0019,2022-H2,4,0
REV00040,EMP0019,2024-H2,2,0
REV00041,EMP0020,2023-H2,4,0
REV00042,EMP0020,2023-H1,3,0
REV00043,EMP0020,2022-H1,4,0
REV00044,EMP0021,2022-H2,4,0
REV00045,EMP0021,2024-H2,4,0
REV00046,EMP0022,2022-H2,4,0
REV00047,EMP0022,2023-H1,4,0
REV00048,EMP0022,2022-H1,4,0
REV00049,EMP0023,2022-H2,3,0
REV00050,EMP0023,2022-H1,5,0
REV00051,EMP0024,2024-H2,3,0
REV00052,EMP0024,2023-H2,5,0
REV00053,EMP0024,2024-H1,4,0
