project_id,project_name,department_id,start_date,end_date,budget,status
PROJ0001,Project Orbit,DEPT01,2018-09-24,2019-02-04,605323,Delayed
PROJ0002,Project Beacon,DEPT01,2021-12-24,2022-09-17,4507034,Completed
PROJ0003,Project Quantum,DEPT01,2023-08-14,2023-12-01,4751723,Completed
PROJ0004,Project Orbit,DEPT01,2024-05-09,2024-10-25,4796220,Cancelled
PROJ0005,Project Catalyst,DEPT01,2021-02-06,2021-07-17,7845084,Ongoing
PROJ0006,Project Orbit,DEPT02,2019-07-18,2019-12-27,7693612,Ongoing
PROJ0007,Project Orbit,DEPT02,2020-07-15,2020-12-26,1455663,Completed
PROJ0008,Project Falcon,DEPT02,2024-09-19,2025-01-28,6260995,Ongoing
PROJ0009,Project Titan,DEPT02,2020-09-17,2020-12-31,1020502,Ongoing
PROJ0010,Project Vertex,DEPT03,2018-08-14,2019-01-17,7877218,Ongoing
PROJ0011,Project Quantum,DEPT03,2023-02-28,2023-05-24,3777788,Completed
PROJ0012,Project Phoenix,DEPT03,2023-09-10,2024-05-28,7338321,Completed
PROJ0013,Project Pulse,DEPT04,2021-08-27,2022-05-03,7254103,Completed
PROJ0014,Project Odyssey,DEPT04,2020-10-04,2021-01-12,7652610,Completed
PROJ0015,Project Titan,DEPT04,2024-04-08,2024-11-16,7085286,Delayed
PROJ0016,Project Orbit,DEPT04,2021-08-04,2021-11-28,4369162,Ongoing
PROJ0017,Project Pulse,DEPT04,2022-03-15,2022-08-17,6091463,Completed
PROJ0018,Project Zenith,DEPT05,2018-06-03,2018-09-01,2434515,Delayed
PROJ0019,Project Atlas,DEPT05,2019-11-01,2020-06-29,7896558,Ongoing
PROJ0020,Project Titan,DEPT05,2023-08-09,2024-03-20,7826416,Completed
PROJ0021,Project Phoenix,DEPT05,2019-04-27,2020-02-04,2018162,Cancelled
PROJ0022,Project Horizon,DEPT06,2022-08-20,2023-06-05,3504381,Completed
PROJ0023,Project Phoenix,DEPT06,2018-05-23,2018-08-12,7107360,Cancelled
PROJ0024,Project Summit,DEPT06,2018-01-28,2018-08-25,6128638,Completed
PROJ0025,Project Vertex,DEPT06,2018-02-06,2018-07-17,5982815,Ongoing
PROJ0026,Project Summit,DEPT07,2020-12-26,2021-10-14,2803793,Cancelled
PROJ0027,Project Vertex,DEPT07,2022-12-20,2023-08-14,1569829,Completed
PROJ0028,Project Orbit,DEPT07,2022-06-12,2022-10-28,1227728,Cancelled
PROJ0029,Project Titan,DEPT08,2020-03-11,2020-11-07,3988906,Completed
PROJ0030,Project Nova,DEPT08,2024-12-07,2025-06-01,3074649,Completed
PROJ0031,Project Vertex,DEPT08,2019-04-30,2019-10-07,4276836,Completed
PROJ0032,Project Odyssey,DEPT08,2019-12-22,2020-10-10,6077108,Completed
PROJ0033,Project Apex,DEPT08,2019-02-03,2019-08-31,5838004,Cancelled
