salary_id,employee_id,salary_amount,effective_date
SAL00001,EMP0001,812888,2018-11-22
SAL00002,EMP0001,907105,2019-11-02
SAL00003,EMP0002,3724259,2018-09-20
SAL00004,EMP0002,4379484,2019-09-30
SAL00005,EMP0002,5022038,2020-09-26
SAL00006,EMP0003,1492294,2018-01-08
SAL00007,EMP0004,1670698,2018-04-30
SAL00008,EMP0004,1805851,2019-06-05
SAL00009,EMP0004,2127405,2020-05-07
SAL00010,EMP0005,1703375,2018-11-12
SAL00011,EMP0005,1959041,2019-12-20
SAL00012,EMP0006,2219118,2018-12-22
SAL00013,EMP0006,2556786,2019-10-18
SAL00014,EMP0007,1489828,2018-03-05
SAL00015,EMP0007,1664362,2019-03-16
SAL00016,EMP0008,2078843,2018-07-25
SAL00017,EMP0008,2252467,2019-07-25
SAL00018,EMP0009,710784,2020-08-20
SAL00019,EMP0009,783378,2021-06-24
SAL00020,EMP0010,538029,2019-05-17
SAL00021,EMP0011,2039177,2024-01-04
SAL00022,EMP0011,2389217,2024-12-20
SAL00023,EMP0012,1727851,2021-07-26
SAL00024,EMP0012,1891805,2022-08-09
SAL00025,EMP0013,809790,2019-10-14
SAL00026,EMP0013,942796,2020-10-27
SAL00027,EMP0013,1041710,2021-10-07
SAL00028,EMP0014,417443,2024-05-29
SAL00029,EMP0015,2187781,2021-09-23
SAL00030,EMP0016,1840549,2018-09-26
SAL00031,EMP0017,1725666,2023-10-30
SAL00032,EMP0018,1888092,2021-11-20
SAL00033,EMP0018,2041153,2022-10-05
SAL00034,EMP0019,1215718,2019-10-27
SAL00035,EMP0020,542497,2018-08-24
SAL00036,EMP0021,500546,2022-09-15
SAL00037,EMP0021,554265,2023-08-02
SAL00038,EMP0022,855544,2019-08-22
SAL00039,EMP0023,1012488,2018-04-26
SAL00040,EMP0023,1124151,2019-05-26
SAL00041,EMP0023,1273302,2020-04-19
SAL00042,EMP0024,2315623,2023-06-08
SAL00043,EMP0025,748591,2019-07-25
SAL00044,EMP0025,842819,2020-06-16
SAL00045,EMP0025,967241,2021-07-04
SAL00046,EMP0026,688541,2024-08-28
SAL00047,EMP0027,1964347,2019-07-22
SAL00048,EMP0027,2240067,2020-06-29
SAL00049,EMP0028,658602,2018-04-14
SAL00050,EMP0028,768377,2019-06-02
SAL00051,EMP0028,899492,2020-04-15
SAL00052,EMP0029,2679156,2019-06-03
SAL00053,EMP0029,3115095,2020-05-07
SAL00054,EMP0029,3413356,2021-04-10
SAL00055,EMP0030,446740,2024-12-19
SAL00056,EMP0031,524874,2024-10-09
SAL00057,EMP0032,2184091,2022-06-18
SAL00058,EMP0032,2493972,2023-08-10
SAL00059,EMP0033,1695298,2018-06-21
SAL00060,EMP0034,1790672,2023-08-23
SAL00061,EMP0034,1948875,2024-09-06
SAL00062,EMP0035,3702872,2023-09-13
SAL00063,EMP0035,4303950,2024-08-31
SAL00064,EMP0036,634370,2018-09-19
SAL00065,EMP0037,515957,2019-03-17
SAL00066,EMP0037,574977,2020-02-23
SAL00067,EMP0038,596082,2022-12-19
SAL00068,EMP0039,823229,2018-07-19
SAL00069,EMP0039,971048,2019-05-24
SAL00070,EMP0040,686911,2022-10-16
SAL00071,EMP0040,747067,2023-10-10
SAL00072,EMP0041,791562,2020-07-22
SAL00073,EMP0042,696470,2024-10-12
SAL00074,EMP0043,2176901,2022-04-30
SAL00075,EMP0043,2364087,2023-05-18
SAL00076,EMP0044,1277612,2021-06-30
SAL00077,EMP0045,2619117,2023-11-10
SAL00078,EMP0046,1198216,2019-03-20
SAL00079,EMP0047,2217807,2024-07-10
SAL00080,EMP0048,501824,2019-09-21
SAL00081,EMP0048,558406,2020-10-28
SAL00082,EMP0048,658626,2021-12-06
SAL00083,EMP0049,2406093,2022-05-28
SAL00084,EMP0050,1054580,2019-12-16
SAL00085,EMP0051,688163,2021-12-07
